customer_id,plan_type,county,activation_date,plan_name,monthly_fee,tenure_months,is_active,last_interaction,reason_for_churn
CUST_UK_001,Broadband,Greater London,2023-11-05,PXC Connect 900 + Stream,38,18,True,2024-11-01,Active
CUST_UK_002,Broadband + TV,Greater London,2024-01-22,PXC Connect 500 TV,43,14,True,2024-11-03,Active
CUST_UK_003,Broadband + Mobile,Greater Manchester,2023-08-10,PXC Connect 500 Mobile,34,16,True,2024-10-28,Active
CUST_UK_004,Broadband + TV + Mobile,West Midlands,2023-05-14,PXC Connect 900 + Mobile,40,19,True,2024-11-02,Active
CUST_UK_005,Broadband,West Yorkshire,2024-02-03,PXC Connect 300,31,9,True,2024-10-30,Active
CUST_UK_006,Broadband + TV,Tyne and Wear,2023-03-09,PXC Connect 500 TV,32,20,False,2024-09-18,Switched to competitor FTTC promo
CUST_UK_007,Broadband,Greater Glasgow,2022-12-17,PXC Connect 150,28,23,False,2024-08-25,Moved outside PXC footprint
CUST_UK_008,Broadband + TV + Mobile,Bristol,2023-04-28,PXC Connect 900 + Mobile + Stream,43,18,False,2024-09-30,Chose bundled mobile discount
CUST_UK_009,Broadband + TV,Leeds,2022-10-11,PXC Connect 500 TV,36,25,False,2024-07-15,Switched to alternative cable offer
CUST_UK_010,Broadband + Mobile,Liverpool,2023-07-05,PXC Connect 300 Mobile,30,16,False,2024-10-05,Price-sensitive churn to FTTC deal
CUST_UK_011,Broadband + TV,Edinburgh,2023-05-26,PXC Connect 900 TV,44,18,True,2024-11-04,Active
CUST_UK_012,Broadband,Cardiff,2024-02-20,PXC Connect 150,29,9,True,2024-10-29,Active
CUST_UK_013,Broadband + Mobile,Nottingham,2023-11-12,PXC Connect 900 Mobile,25,12,True,2024-11-01,Active
CUST_UK_014,Broadband + TV,Sheffield,2022-09-02,PXC Connect 500 TV,36,26,False,2024-06-28,Contract renewal moved to alternate provider
CUST_UK_015,Broadband + TV + Mobile,Milton Keynes,2023-01-19,PXC Connect 900 + Mobile,44,22,True,2024-11-02,Active
